id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,zip_code,school_type,school_level,charter,rate_unemployment_normalized,percent_college_normalized,percent_lunch_normalized,income_poverty_ratio_estimate,income_poverty_se
100153000158,0.075028636884307,0.533549783549784,0.63972602739726,57929.0,15.6153846153846,0.533715925394548,2016-2017,DE,19973,Regular School,High,No,-0.3787304803078291,-0.23924725910135067,0.5259402157069469,206,83
100162000299,0.102544625902013,0.503243427791055,0.535479151426481,51103.0,17.026862026862,0.28099173553719,2016-2017,DE,19977,Regular School,High,No,0.10761495602533762,-0.4230176246788101,-0.5529892581553709,292,58
100185000194,0.119109102646869,0.373791621911923,0.553511705685619,50739.0,15.996336996337,0.452631578947368,2016-2017,DE,19950,Regular School,High,No,0.4003922814169004,-1.2079818704779268,0.1797751283834757,250,26
120003000013,0.121073672187322,0.732411304870716,0.360215053763441,19782.0,24.035409035409,0.37962962962963,2016-2017,FL,32609,Regular School,High,No,0.43511607163732985,0.9666006086981821,-0.131884609502187,271,83
120003000019,0.0416253716551041,0.654947916666667,0.654781199351702,54225.0,21.6910866910867,0.430313588850174,2016-2017,FL,32669,Regular School,High,No,-0.9691335943807232,0.49688147511259445,0.08449522135589423,331,49
120003000020,0.0544682857816553,0.643496357960458,0.6038104543234,46554.0,22.6678876678877,0.364757709251101,2016-2017,FL,32615,Regular School,High,No,-0.7421349329607141,0.42744201011635774,-0.19537577446896381,284,57
120003000028,0.116580310880829,0.382407066617593,0.450915141430948,33354.0,26.7216117216117,0.488112927191679,2016-2017,FL,32641,Regular School,High,No,0.3556958565833592,-1.1557399105478765,0.3312520108092027,149,54
120003000029,0.0298013245033113,0.810068649885583,0.683248730964467,75341.0,23.3516483516484,0.263061411549038,2016-2017,FL,32606,Regular School,High,No,-1.178123769786093,1.4374958491807521,-0.6295373520977698,268,94
120006000035,0.094651789149673,0.380206479174083,0.792228390166534,65391.0,17.4908424908425,0.387903225806452,2016-2017,FL,32040,Regular School,High,No,-0.03189102835898389,-1.1690837372421343,-0.09656299357358837,204,70
120009000039,0.209809264305177,0.545277507302824,0.746478873239437,25747.0,22.6190476190476,0.484598046581518,2016-2017,FL,32401,Regular School,High,No,2.0035187279645275,-0.1681331964721987,0.3162462913743109,90,35
120009000064,0.108850457782299,0.352538275584206,0.420998980632008,35256.0,20.3724053724054,0.463494667760459,2016-2017,FL,32401,Regular School,High,No,0.2190706102374341,-1.3368569901222265,0.22615179974304428,140,43
120009000067,0.0433620433620434,0.521657754010695,0.573690621193666,43151.0,23.1562881562882,0.296099290780142,2016-2017,FL,32444,Regular School,High,No,-0.9384379011045207,-0.31135763202954003,-0.4884921214197694,309,59
